win,duration,kills,deaths,assists
True,1390,5,2,3
True,1300,17,13,24
True,933,8,7,23
True,1072,10,10,27
True,1351,18,10,32
False,1135,13,12,20
True,1214,6,7,24
False,470,4,4,7
True,1076,17,6,20
True,1739,1,4,12
True,570,0,0,1
True,2336,5,7,7
False,1103,16,10,9
True,1247,16,10,29
False,1008,2,2,2
True,839,5,5,37
False,725,4,1,1
True,996,10,10,21
False,1230,20,14,15
False,659,3,6,8
True,1281,15,10,33
False,1267,15,11,31
True,1806,22,17,16
False,807,7,5,5
False,1121,7,11,12
False,1349,20,13,26
False,916,5,10,18
False,1338,8,12,18
False,1101,1,6,0
False,1843,2,9,8
